Bel,Rus,Eng,Latitude,Longitude
Хамічы,Хомичи,Chamičy,52.56065,24.94171
Вугляны,Угляны,Vuhliany,52.4815099,24.9592325
Дзягелец,Дягелец,Dziahieliec,52.45869,24.96995
Здзітава,Здитово,Zdzitava,52.4752904,24.9998427
Калонія,Колония,Kalonija,52.417177,24.9498983
Машковічы,Мошковичи,Maškovičy,52.4224675,24.9834423
Пясчанка,Песчанка,Piasčanka,52.4618254,25.0130894
Шылін,Шилин,Šylin,52.4454067,25.0175415
Шылінок,Шилинок,Šylinok,52.42684,25.00325
Алёхнавічы,Олёхновичи,Aliochnavičy,52.5351808,24.7321594
Бухалі,Бухали,Buchali,52.5630148,24.7031768
Віснявічы,Висневичи,Visniavičy,52.55842,24.67126
Горск,Горск,Horsk,52.40599,24.73701
Грыцавічы,Грицевичи,Hrycavičy,52.44152,24.74636
Давыдавічы,Давыдовичи,Davydavičy,52.56357,24.68302
Залужжа,Залужье,Zalužža,52.45783,24.70885
Лукомер,Лукомер,Lukomier,52.53645,24.70139
Малеч,Малеч,Malieč,52.4829887,24.7016817
Падкраічы,Подкраичи,Padkraičy,52.43594,24.71623
Паўлавічы,Павловичи,Paŭlavičy,52.50117,24.6722
Пасталова,Постолово,Pastalova,52.43002,24.76318
Рыгалі,Рыгали,Ryhali,52.4279146,24.7320387
Сасноўка,Сосновка,Sasnoŭka,52.5420748,24.7232607
Хойнікі,Хойники,Chojniki,52.50083,24.71452
Чарнічнае,Черничное,Čarničnaje,52.55035,24.69847
Батарэя,Батарея,Batareja,52.3611,24.97072
Елянова,Еленово,Jelianova,52.41577,25.04239
Касцюкі,Костюки,Kasciuki,52.40358,25.0617
Мацвеевічы,Матвеевичи,Macviejevičy,52.4110463,25.0633543
Міжлессе,Мижлесье,Mižliessie,52.38727,25.00531
Міхалінак,Михалинок,Michalinak,52.37294,25.06076
Стаўкі,Ставки,Staŭki,52.3450732,25.0057375
Судзілавічы,Судиловичи,Sudzilavičy,52.35252,25.03776
Аніцавічы,Оницевичи,Anicavičy,52.5260853,24.8224345
Асаўцы,Осовцы,Asaŭcy,52.54546,24.85039
Варажбіты,Ворожбиты,Varažbity,52.5578751,24.7388805
